ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_EditedObjects8_Count,Children_RelateObjects9_Count,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_EditedObjects8,Parent_IdentifyPrimaryObjects7
1,1,1447,3003,281,166,204,127,241.7629578438148,146.88804422944023,2.03297120843343,0.9691497036355604,42.92292652221864,1,0.48185148185148186,0.49189088160799954,89.3854633557054,79.71198153351854,11.0,4.7511940215039505,4.47213595499958,22.135943621178654,22.03108739152619,-1.2329202154666465,192.2670273047588,0.8910098522167488,1,1,241.7629578438148,146.88804422944023,1,1,2
2,1,1606,3780,304,155,214,113,259.3804483188045,135.41469489414695,2.4146550828471702,0.9799046898077026,45.21971593060566,1,0.4248677248677249,0.41413782328732396,106.53461375892327,93.637599285757,9.848857801796104,4.523422970534121,4.242640687119285,21.245017515426277,21.250063641396434,-1.2323634511117334,220.75230867899737,0.8479408658922915,1,1,259.3804483188045,135.41469489414695,1,1,1
3,1,1036,2065,338,133,279,98,308.9469111969112,114.1476833976834,1.7735799087841169,0.9542185784186838,36.319088209172165,1,0.5016949152542373,0.5638313757656136,67.13918384873561,62.177166226839255,9.486832980505138,4.414971831229355,4.123105625617661,19.16096054570013,20.08201390711586,-1.151685303682581,151.95331880577402,0.946983546617916,1,1,308.9469111969112,114.1476833976834,1,1,1
3,2,1034,1560,282,149,222,123,251.147001934236,136.04352030947774,1.6346614287339545,0.9442058006581836,36.2840142384516,1,0.6628205128205128,0.6117474740775527,63.89050041341597,59.841457201508724,10.0,4.598376542574548,4.123105625617661,20.28874777601513,21.042722686885714,-1.349076309526229,145.74011537017762,0.9512419503219871,1,1,251.147001934236,136.04352030947774,2,2,2
4,1,1799,3074,408,98,302,69,354.47859922178986,81.00277932184547,2.661592415011471,0.9830120219883995,47.85977372469032,1,0.5852309694209499,0.3757149270338938,117.43816048587821,105.38500842150178,9.055385138137417,4.526783252000168,4.123105625617661,22.543400764587116,21.55473851117288,-1.471704081775569,245.29646455628165,0.8263665594855305,1,1,354.47859922178986,81.00277932184547,1,1,1
4,2,1621,2756,407,113,301,87,352.73781616286243,97.78840222085132,2.8844398924813235,0.9873633822386302,45.430400636750925,1,0.5881712626995645,0.34668775820450726,119.18327286372562,106.06601717798213,8.54400374531753,4.126114292608005,4.0,19.454067719971633,18.887278037004364,-1.4523130060647718,242.39696961967002,0.8513655462184874,1,1,352.73781616286243,97.78840222085132,2,2,4
4,3,1037,1701,306,115,243,88,273.1398264223722,101.36644165863066,1.8571840506889108,0.9569734058886397,36.33661249883324,1,0.6096413874191652,0.5384495950355896,68.03407825599659,63.56099432828282,9.219544457292887,4.360640287546202,4.0,18.238800567851115,19.741832008952006,-1.3579927169317476,155.5685424949238,0.9435850773430391,1,1,273.1398264223722,101.36644165863066,3,3,6
4,4,764,893,244,117,197,98,220.93848167539267,107.10732984293193,1.4345063745260518,0.9102191738687947,31.18902069924069,1,0.8555431131019037,0.6971039081861111,48.6685911233808,46.52956049652737,10.0,4.43000218184988,4.0,18.0,20.154970784246505,-1.5486242359339082,117.35533905932738,0.9707750952986023,1,1,220.93848167539267,107.10732984293193,4,4,8
4,5,1742,3248,305,133,193,104,247.95292766934557,120.58036739380023,3.0632676754281083,0.9873797877261239,47.09546991939515,1,0.5363300492610837,0.32644878148307577,125.63702363966189,111.5437134042076,9.0,4.156887605811854,4.0,22.95997601161732,19.89717426245975,-1.4659371932034215,258.9533188057741,0.7505385609651013,1,1,247.95292766934557,120.58036739380023,5,5,12
5,1,1155,2560,207,88,143,48,175.58095238095237,68.4008658008658,1.8968192544829328,0.9642533523853424,38.34829427978659,1,0.451171875,0.5271983599051966,75.60168667577443,69.35416353759881,9.848857801796104,4.414435750188964,4.123105625617661,19.057696013717074,20.033087863358514,-1.0924257799926904,165.92388155425118,0.9307010475423045,1,1,175.58095238095237,68.4008658008658,1,1,1
5,2,2845,5376,410,96,242,64,323.1599297012302,77.44182776801406,3.8762966673942,0.9933111701012711,60.18609893298899,1,0.5292038690476191,0.2579781904753538,187.28720881001536,167.7647161950331,9.486832980505138,4.589262083527856,4.47213595499958,23.396417215479666,21.62572835236991,-1.474968916168214,372.2670273047588,0.810772299800513,1,1,323.1599297012302,77.44182776801406,2,2,2
5,3,770,832,394,97,342,81,367.37792207792205,88.55064935064935,1.6879293045004302,0.9520183943152482,31.311251163856024,1,0.9254807692307693,0.5924418737999019,57.49133594132887,51.478150704935004,8.0,3.964287588712934,4.0,15.0,17.59469497249892,1.56418047104712,127.79898987322333,0.9685534591194969,1,1,367.37792207792205,88.55064935064935,3,3,6
5,4,766,893,439,98,392,79,415.2167101827676,88.72323759791122,1.5290608705046245,0.9171320703208997,31.229817342839755,1,0.8577827547592385,0.6539962007333151,49.973181228035834,47.07440918375928,10.0,4.3225715220845355,4.0,18.0,19.91848291708993,-1.5349573623416741,121.31980515339463,0.9433497536945813,1,1,415.2167101827676,88.72323759791122,4,4,7
5,5,1632,2987,263,110,160,81,211.12132352941177,97.03553921568627,2.772875283369378,0.985135476304279,45.58428388170407,1,0.5463675929025779,0.36063648660926406,113.21012858825834,103.75451797391764,9.0,4.253970294547428,4.0,20.07724283019964,19.447145246349546,1.423720884524199,238.4680374315355,0.864406779661017,1,1,211.12132352941177,97.03553921568627,5,5,12
5,6,1167,2080,342,109,262,83,301.44558697515,95.23307626392459,2.5376771161511282,0.9827320743110032,38.54699143520717,1,0.5610576923076923,0.3940611646909166,91.12636351157111,82.28000972289685,8.0,3.8431052925129636,4.0,15.69860849645064,16.861497452774884,-1.4008820924255878,192.9116882454314,0.9160125588697017,1,1,301.44558697515,95.23307626392459,6,6,9
5,7,1151,1925,340,123,263,98,301.92875760208517,110.41442224152911,2.287894641352157,0.9778555783080589,38.28183271462029,1,0.597922077922078,0.43708306402125013,85.33782104534635,76.4198926981712,8.06225774829855,4.016987160822616,4.0,16.61735968527509,17.859570460439034,-1.4207091846581694,181.91168824543144,0.9200639488409272,1,1,301.92875760208517,110.41442224152911,7,7,13
5,8,608,1104,208,121,162,97,184.23848684210526,108.0345394736842,1.7994843294848466,0.9450530165594981,27.823185353208192,1,0.5507246376811594,0.5557147587310629,49.63672918585402,46.09772228646444,7.615773105863909,3.4945618939769068,3.1622776601683795,15.32,16.227095985527992,1.293100803704338,117.25483399593904,0.9212121212121213,1,1,184.23848684210526,108.0345394736842,8,8,14
