ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_EditedObjects8_Count,Children_RelateObjects9_Count,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_EditedObjects8,Parent_IdentifyPrimaryObjects7,Division_Angle
1,1,1162.821141491211,-,-,-,-,-,241.7629578438148,146.88804422944023,-,-,-,-,-,-,86.69724438378675,-,-,-,-,-,13.89,-1.232920215466646,-,-,-,-,241.7629578438148,146.88804422944023,1,1,-,0.0
2,1,1056.9577695726487,-,-,-,-,-,260.5605346862969,144.81966595806838,-,-,-,-,-,-,79.07569132989458,-,-,-,-,-,13.89,-1.092688159449813,-,-,-,-,260.5605346862969,144.81966595806838,1,1,-,3.1376531899995985
2,2,1046.5501840955021,-,-,-,-,-,222.491873697726,149.2129511448165,-,-,-,-,-,-,78.32640511843695,-,-,-,-,-,13.89,-1.0927973547573648,-,-,-,-,222.491873697726,149.2129511448165,2,2,-,0.0
3,1,960.5246795878992,-,-,-,-,-,242.82583770365696,162.6368891065939,-,-,-,-,-,-,72.13306426115811,-,-,-,-,-,13.89,-1.3391908695350758,-,-,-,-,242.82583770365696,162.6368891065939,1,1,-,3.1311604437008085
3,2,860.7365328048776,-,-,-,-,-,246.37265521720863,136.53197735785935,-,-,-,-,-,-,64.94889242652734,-,-,-,-,-,13.89,-0.8596397301767398,-,-,-,-,246.37265521720863,136.53197735785935,2,2,-,3.1346818993414995
3,3,915.941605567079,-,-,-,-,-,277.4390174511236,135.3521262212682,-,-,-,-,-,-,68.92333970962318,-,-,-,-,-,13.89,-1.107973456098052,-,-,-,-,277.4390174511236,135.3521262212682,3,3,-,0.0
3,4,1030.2313895080026,-,-,-,-,-,205.85695886438756,152.0472905882312,-,-,-,-,-,-,77.15154589687471,-,-,-,-,-,13.89,-0.898889735180207,-,-,-,-,205.85695886438756,152.0472905882312,4,4,-,0.0
4,1,684.4701374819132,-,-,-,-,-,282.41047736634266,157.6801255043486,-,-,-,-,-,-,52.258727176493906,-,-,-,-,-,13.89,-1.434250411971175,-,-,-,-,282.41047736634266,157.6801255043486,1,1,-,3.135607474780023
4,2,997.2739020196019,-,-,-,-,-,222.4445586322006,153.3485911328473,-,-,-,-,-,-,74.7787966176522,-,-,-,-,-,13.89,-0.9794200425000099,-,-,-,-,222.4445586322006,153.3485911328473,2,2,-,3.1351079629152565
4,3,1017.8192004635929,-,-,-,-,-,254.38743971357405,149.8401388495371,-,-,-,-,-,-,76.25793977416703,-,-,-,-,-,13.89,-0.9489581390874449,-,-,-,-,254.38743971357405,149.8401388495371,3,3,-,3.1323801578286656
4,4,710.9751224127842,-,-,-,-,-,225.50205654263533,123.91302509636097,-,-,-,-,-,-,54.166933435015935,-,-,-,-,-,13.89,-1.0717012528577445,-,-,-,-,225.50205654263533,123.91302509636097,4,4,-,3.1326675764647267
4,5,965.7420956479453,-,-,-,-,-,192.7371191293877,159.39961654669824,-,-,-,-,-,-,72.50868816756893,-,-,-,-,-,13.89,-0.9356675609707747,-,-,-,-,192.7371191293877,159.39961654669824,5,5,-,0.0
4,6,995.4120921061982,-,-,-,-,-,232.43995624822838,177.18001216765907,-,-,-,-,-,-,74.64475702705438,-,-,-,-,-,13.89,-1.4006660473930839,-,-,-,-,232.43995624822838,177.18001216765907,6,6,-,0.0
4,7,593.7064731623266,-,-,-,-,-,260.19114058692276,118.80386918414125,-,-,-,-,-,-,45.724266102369604,-,-,-,-,-,13.89,-1.058777626449476,-,-,-,-,260.19114058692276,118.80386918414125,7,7,-,0.0
4,8,533.2911330324237,-,-,-,-,-,302.457322719958,123.34368768204973,-,-,-,-,-,-,41.37470957753857,-,-,-,-,-,13.89,-0.9108204425583574,-,-,-,-,302.457322719958,123.34368768204973,8,8,-,0.0
5,1,1368.0195621875307,-,-,-,-,-,272.2524831020001,167.33866010615108,-,-,-,-,-,-,101.47034882556645,-,-,-,-,-,13.89,-1.2379422026551512,-,-,-,-,272.2524831020001,167.33866010615108,1,1,-,3.135607474780023
5,2,1043.311464016816,-,-,-,-,-,236.79161686814734,138.0552650192765,-,-,-,-,-,-,78.09323592630692,-,-,-,-,-,13.89,-0.9684304265795498,-,-,-,-,236.79161686814734,138.0552650192765,2,2,-,3.134037693587644
5,3,581.8904331821811,-,-,-,-,-,283.21109432639275,122.73769278520905,-,-,-,-,-,-,44.87357927874501,-,-,-,-,-,13.89,-1.1446328618877288,-,-,-,-,283.21109432639275,122.73769278520905,3,3,-,3.134337497849072
5,4,1295.932051222484,-,-,-,-,-,203.1524570099041,118.75113811870568,-,-,-,-,-,-,96.28046322693096,-,-,-,-,-,13.89,-0.9414823117989999,-,-,-,-,203.1524570099041,118.75113811870568,4,4,-,3.1326675764647267
5,5,653.8866300983935,-,-,-,-,-,205.26316355916012,145.75299803929175,-,-,-,-,-,-,50.05689079179126,-,-,-,-,-,13.89,-1.0821017566133375,-,-,-,-,205.26316355916012,145.75299803929175,5,5,-,3.134052583545691
5,6,583.7610929068277,-,-,-,-,-,270.0653107471064,182.7188135771816,-,-,-,-,-,-,45.00825600478149,-,-,-,-,-,13.89,-1.2791997543275724,-,-,-,-,270.0653107471064,182.7188135771816,6,6,-,3.133517527169701
5,7,1084.2311092136683,-,-,-,-,-,239.33976646948568,116.74528171183685,-,-,-,-,-,-,81.03921470217821,-,-,-,-,-,13.89,-1.1910433280768018,-,-,-,-,239.33976646948568,116.74528171183685,7,7,-,0.0
5,8,973.1713141130581,-,-,-,-,-,294.4215680320172,136.58001902977526,-,-,-,-,-,-,73.04354910818181,-,-,-,-,-,13.89,-0.9090306710434654,-,-,-,-,294.4215680320172,136.58001902977526,8,8,-,0.0
5,9,804.2685408923393,-,-,-,-,-,210.02178092396758,167.97105912103586,-,-,-,-,-,-,60.88352223843964,-,-,-,-,-,13.89,-0.9723288142122337,-,-,-,-,210.02178092396758,167.97105912103586,9,9,-,0.0
5,10,1075.5552576652997,-,-,-,-,-,246.52988225909462,157.45693710208755,-,-,-,-,-,-,80.41460335960309,-,-,-,-,-,13.89,-0.960589638547134,-,-,-,-,246.52988225909462,157.45693710208755,10,10,-,0.0
5,11,1070.7806833011487,-,-,-,-,-,224.39635239365265,195.22938272686497,-,-,-,-,-,-,80.0708615047326,-,-,-,-,-,13.89,1.4409083263332216,-,-,-,-,224.39635239365265,195.22938272686497,11,11,-,0.0
5,12,874.00552743788,-,-,-,-,-,162.63623361399922,177.8156365463154,-,-,-,-,-,-,65.9041836168083,-,-,-,-,-,13.89,-1.0582340230751153,-,-,-,-,162.63623361399922,177.8156365463154,12,12,-,0.0
6,1,1266.4517917146227,-,-,-,-,-,267.81079621816957,187.4916058035579,-,-,-,-,-,-,94.1580543350763,-,-,-,-,-,13.89,1.5431414298876758,-,-,-,-,267.81079621816957,187.4916058035579,1,1,-,3.136533084562466
6,2,1220.2979680792698,-,-,-,-,-,234.36824386270882,129.83613282488523,-,-,-,-,-,-,90.83524485808906,-,-,-,-,-,13.89,-0.7973911714077238,-,-,-,-,234.36824386270882,129.83613282488523,2,2,-,3.1344615709872925
6,3,1144.7586512881253,-,-,-,-,-,266.5037459294936,131.3147821958084,-,-,-,-,-,-,85.39684912078563,-,-,-,-,-,13.89,-0.9851939089791459,-,-,-,-,266.5037459294936,131.3147821958084,3,3,-,3.134337497849072
6,4,1293.572299905338,-,-,-,-,-,181.26420982693878,112.59175590069957,-,-,-,-,-,-,96.11057472317675,-,-,-,-,-,13.89,-0.6954453721955609,-,-,-,-,181.26420982693878,112.59175590069957,4,4,-,3.132648484162312
6,5,1178.8552429088754,-,-,-,-,-,179.78194654510312,147.13487420849438,-,-,-,-,-,-,87.85160733682237,-,-,-,-,-,13.89,-1.160019050487757,-,-,-,-,179.78194654510312,147.13487420849438,5,5,-,3.134052583545691
6,6,1106.2983305762718,-,-,-,-,-,255.05831074989695,199.2568153338264,-,-,-,-,-,-,82.62792754325838,-,-,-,-,-,13.89,1.5368976286029057,-,-,-,-,255.05831074989695,199.2568153338264,6,6,-,3.133517527169701
6,7,1006.2302568351138,-,-,-,-,-,216.90892424585948,116.87982849682645,-,-,-,-,-,-,75.42360257989208,-,-,-,-,-,13.89,-1.125095584802497,-,-,-,-,216.90892424585948,116.87982849682645,7,7,-,3.1331734187767677
6,8,819.9775946139391,-,-,-,-,-,270.14867754240225,156.65568826303618,-,-,-,-,-,-,62.01448362948353,-,-,-,-,-,13.89,-1.1535215577508964,-,-,-,-,270.14867754240225,156.65568826303618,8,8,-,3.1333219190499024
6,9,871.1428992768073,-,-,-,-,-,210.3593247138237,169.37550547907836,-,-,-,-,-,-,65.69809087663026,-,-,-,-,-,13.89,-0.9619939232988044,-,-,-,-,210.3593247138237,169.37550547907836,9,9,-,3.132627057078977
6,10,561.7812793747329,-,-,-,-,-,277.0089442783829,138.60013755603154,-,-,-,-,-,-,43.42583602406912,-,-,-,-,-,13.89,-0.9740604571514828,-,-,-,-,277.0089442783829,138.60013755603154,10,10,-,3.133656882185201
6,11,824.965578909433,-,-,-,-,-,250.64108903070567,220.85342977068538,-,-,-,-,-,-,62.37358977026783,-,-,-,-,-,13.89,-1.3846898133145258,-,-,-,-,250.64108903070567,220.85342977068538,11,11,-,3.136565249162296
6,12,760.9980565379552,-,-,-,-,-,180.48592283112254,164.9918087684951,-,-,-,-,-,-,57.76829658297642,-,-,-,-,-,13.89,-0.9567004377233795,-,-,-,-,180.48592283112254,164.9918087684951,12,12,-,3.1393391816395546
6,13,1127.2729776106296,-,-,-,-,-,288.1032633829564,165.73408122996406,-,-,-,-,-,-,84.13798132542958,-,-,-,-,-,13.89,-1.2066799545415474,-,-,-,-,288.1032633829564,165.73408122996406,13,13,-,0.0
6,14,843.0863035028153,-,-,-,-,-,216.3115888462112,96.8811383345091,-,-,-,-,-,-,63.67817757396706,-,-,-,-,-,13.89,-0.8110413842464597,-,-,-,-,216.3115888462112,96.8811383345091,14,14,-,0.0
6,15,661.4494903431572,-,-,-,-,-,268.0231989890973,113.83928147439606,-,-,-,-,-,-,50.601373170823926,-,-,-,-,-,13.89,-0.8604028977011726,-,-,-,-,268.0231989890973,113.83928147439606,15,15,-,0.0
6,16,748.9569111534653,-,-,-,-,-,259.45551301610317,91.01078483166148,-,-,-,-,-,-,56.90140346674243,-,-,-,-,-,13.89,-1.4704126842637115,-,-,-,-,259.45551301610317,91.01078483166148,16,16,-,0.0
6,17,952.6945902835129,-,-,-,-,-,203.35058610391496,209.95215333556308,-,-,-,-,-,-,71.56934292894887,-,-,-,-,-,13.89,1.5245431769997135,-,-,-,-,203.35058610391496,209.95215333556308,17,17,-,0.0
6,18,722.8424733688059,-,-,-,-,-,315.492694616977,125.6718447144288,-,-,-,-,-,-,55.021314353376034,-,-,-,-,-,13.89,-0.9813777787492561,-,-,-,-,315.492694616977,125.6718447144288,18,18,-,0.0
6,19,517.6707826108512,-,-,-,-,-,166.38711016075834,198.9055164809519,-,-,-,-,-,-,40.25013431320651,-,-,-,-,-,13.89,-0.983999843891235,-,-,-,-,166.38711016075834,198.9055164809519,19,19,-,0.0
6,20,910.1916556946836,-,-,-,-,-,230.74633801722274,170.0984573138584,-,-,-,-,-,-,68.50937643587262,-,-,-,-,-,13.89,-0.9580954650691211,-,-,-,-,230.74633801722274,170.0984573138584,20,20,-,0.0
6,21,662.8424482262326,-,-,-,-,-,135.77677654583124,195.67957961663677,-,-,-,-,-,-,50.70165811560977,-,-,-,-,-,13.89,-0.9704668119830853,-,-,-,-,135.77677654583124,195.67957961663677,21,21,-,0.0
7,1,1289.4109315272194,-,-,-,-,-,284.986275411551,194.1597989163722,-,-,-,-,-,-,95.81098016751668,-,-,-,-,-,13.89,1.4105524191350287,-,-,-,-,284.986275411551,194.1597989163722,1,1,-,3.140682136744194
7,2,864.5807601567083,-,-,-,-,-,253.2315787638973,109.1313733632983,-,-,-,-,-,-,65.22565465488087,-,-,-,-,-,13.89,-0.7298274953685193,-,-,-,-,253.2315787638973,109.1313733632983,2,2,-,3.1330946088847913
